tenant_id,full_name,email,phone,city,property_type,preferred_language,tenant_age,lease_start_date,lease_end_date,lease_duration_months,days_to_expiry,years_at_property,monthly_rent,rent_increase_pct,market_rent_ratio,nearby_vacancy_rate,late_payments,missed_payments,avg_days_late,payment_consistency,maintenance_requests,unresolved_issues,avg_resolution_days,engagement_score,satisfaction_score,complaints_filed,response_rate,portal_logins_last_30d,communication_score,sentiment_score,will_not_renew
T00001,Taimur Dash,toorishita@example.org,5629044536,Delhi,Studio,Tamil,28,2021-01-26,2023-01-16,24,-532,3.4,37256,2.5,0.966,0.198,9,5,14.0,0.548,4,0,16.4,0.238,4.4,0,0.757,3,0.894,-0.395,0
T00002,Raghav Hayer,sachdevrenee@example.com,+911523894873,Mumbai,Apartment,Telugu,39,2023-05-14,2023-11-10,6,-234,1.1,49347,12.9,0.807,0.049,0,4,30.0,0.429,2,0,9.1,0.168,5.8,2,0.657,2,0.406,-0.212,1
T00003,Rati Babu,vivaangole@example.com,00713866521,Bangalore,3BHK,Kannada,38,2022-09-03,2023-03-02,6,-487,1.8,69348,4.6,0.741,0.178,5,5,25.2,0.348,3,1,8.6,0.662,5.5,1,0.796,2,0.464,-0.105,0
T00004,Lakshit Bhatti,shalvsaini@example.net,+911338599155,Kolkata,Studio,Telugu,57,2021-03-12,2023-03-02,24,-487,3.3,24828,13.1,0.753,0.165,5,7,21.5,0.537,3,1,5.9,0.493,6.1,1,0.745,2,0.825,0.431,1
T00005,Nitya Rau,bainsmannat@example.net,4073932795,Pune,Commercial,English,37,2021-04-11,2021-10-08,6,-997,3.2,9934,4.0,1.353,0.179,6,15,21.8,0.1,4,3,11.2,0.644,4.0,5,0.634,0,0.618,-0.332,1
T00006,Aayush Bali,bhavin44@example.org,03858943543,Pune,2BHK,English,64,2023-05-04,2025-04-23,24,296,1.2,77329,0.7,0.933,0.044,1,0,3.0,0.933,1,0,5.1,0.743,9.2,1,0.904,6,0.734,0.295,0
T00007,Romil Deo,dubemadhav@example.org,8979977377,Bangalore,Commercial,Kannada,22,2021-06-15,2023-06-05,24,-392,3.0,64057,5.0,0.719,0.178,2,21,31.2,0.0,0,0,16.0,0.0,4.1,3,0.428,0,0.249,-0.791,1
T00008,Kiaan Sankar,kiarakala@example.com,09966759030,Hyderabad,3BHK,Hindi,49,2021-02-09,2021-08-08,6,-1058,3.4,53309,9.4,0.836,0.145,8,16,23.4,0.048,3,0,9.1,0.214,1.2,5,0.539,0,0.647,-0.633,1
T00009,Vidur Raman,aayush67@example.com,+915752784861,Pune,Villa,English,49,2021-09-07,2022-03-06,6,-848,2.8,8726,11.5,1.362,0.024,7,3,14.8,0.629,4,0,7.8,0.453,6.6,0,0.802,2,0.624,0.398,0
T00010,Darshit Gara,umangmammen@example.org,03731679437,Kolkata,3BHK,Kannada,56,2021-12-27,2022-12-22,12,-557,2.5,62921,11.3,1.365,0.056,2,1,16.7,0.871,3,0,16.4,0.389,5.8,0,0.879,7,0.804,-0.286,1
